x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
-11.55555555555554,-8.666666666666664,-6.9333333333333265,-5.77777777777777,-9.629629629629633,-7.222222222222222,-5.77777777777777,-4.814814814814817,-8.253968253968246,-6.190476190476193,-4.952380952380944,-4.126984126984123,-7.222222222222222,-5.416666666666664,-4.333333333333332,-3.611111111111111
-28.526118304032682,-21.39458872802452,-17.11567098241961,-14.263059152016341,-23.771765253360588,-17.82882394002044,-14.263059152016341,-11.885882626680294,-20.37579878859477,-15.281849091446098,-12.225479273156855,-10.187899394297386,-17.82882394002044,-13.371617955015322,-10.69729436401226,-8.91441197001022
-0.8888888888888867,-0.6666666666666661,-0.5333333333333352,-0.44444444444444337,-0.7407407407407396,-0.5555555555555584,-0.44444444444444337,-0.3703703703703698,-0.634920634920634,-0.47619047619047516,-0.38095238095238154,-0.317460317460317,-0.5555555555555584,-0.4166666666666667,-0.33333333333333304,-0.2777777777777792
-31.865993248815514,-23.899494936611667,-19.119595949289305,-15.932996624407757,-26.55499437401298,-19.916245780509726,-15.932996624407757,-13.27749718700649,-22.761423749153945,-17.07106781186549,-13.656854249492358,-11.380711874576972,-19.916245780509726,-14.937184335382284,-11.949747468305834,-9.958122890254863
7.111111111111102,5.333333333333336,4.266666666666658,3.555555555555551,5.925925925925929,4.444444444444447,3.555555555555551,2.9629629629629646,5.079365079365074,3.809523809523812,3.047619047619044,2.539682539682537,4.444444444444447,3.333333333333331,2.666666666666668,2.2222222222222237
-16.53920152693173,-12.404401145198811,-9.923520916159033,-8.269600763465865,-13.782667939109794,-10.337000954332346,-8.269600763465865,-6.891333969554897,-11.813715376379808,-8.860286532284867,-7.088229225827883,-5.906857688189904,-10.337000954332346,-7.752750715749253,-6.202200572599406,-5.168500477166173
-2.666666666666666,-1.9999999999999982,-1.6000000000000019,-1.333333333333333,-2.2222222222222205,-1.6666666666666663,-1.333333333333333,-1.1111111111111103,-1.9047619047619049,-1.428571428571428,-1.1428571428571426,-0.9523809523809524,-1.6666666666666663,-1.2499999999999998,-0.9999999999999991,-0.8333333333333331
-35.529389109757425,-26.64704183231809,-21.31763346585445,-17.764694554878712,-29.607824258131235,-22.205868193598416,-17.764694554878712,-14.803912129065617,-25.37813507839816,-19.03360130879865,-15.226881047038889,-12.68906753919908,-22.205868193598416,-16.6544011451988,-13.323520916159046,-11.102934096799208
-2.6666666666666616,-1.9999999999999982,-1.5999999999999988,-1.3333333333333308,-2.2222222222222228,-1.6666666666666665,-1.3333333333333308,-1.1111111111111114,-1.904761904761903,-1.4285714285714297,-1.1428571428571406,-0.9523809523809516,-1.6666666666666665,-1.2499999999999991,-0.9999999999999991,-0.8333333333333333
-28.202597387873617,-21.15194804090524,-16.921558432724165,-14.101298693936808,-23.502164489894724,-17.62662336742104,-14.101298693936808,-11.751082244947362,-20.144712419909727,-15.108534314932324,-12.086827451945833,-10.072356209954863,-17.62662336742104,-13.219967525565767,-10.57597402045262,-8.81331168371052
